Origin,Dest,Reporting_Airline,TotalFlights,DelayedFlights,CancelledFlights,AvgDepDelay,AvgArrDelay
PDX,PHX,WN,1273,607,6,10.791633780584057,5.309881422924901
DCA,LGA,AA,1273,503,41,24.676090468497577,23.120941558441558
PWM,BWI,WN,1271,673,13,13.32114467408585,6.202229299363057
LGA,DCA,AA,1271,311,38,12.591093117408906,6.0528455284552845
JFK,AUS,DL,1271,367,14,10.32670906200318,1.6104
AUS,JFK,DL,1271,564,13,21.939586645469,11.439807383627608
LGA,FLL,NK,1270,509,30,18.651893634165994,8.83495145631068
BWI,PWM,WN,1270,767,17,13.652312599681022,9.490807354116706
MIA,IAH,AA,1268,612,31,27.319063004846527,24.41801948051948
FLL,LGA,NK,1267,639,15,16.0877893056664,6.0375699440447645
DEN,BIS,OO,1267,370,18,10.299439551641314,5.216237942122186
BOI,SFO,OO,1266,391,7,13.289912629070692,11.863891112890313
CLT,ATL,OH,1266,449,14,10.307262569832401,8.919264588329337
BIS,DEN,OO,1266,359,17,13.501200960768616,6.35024154589372
IAH,MIA,AA,1266,516,35,21.192526401299755,18.216965742251222
STL,ATL,WN,1265,596,7,9.898332009531375,4.6412092283214
ATL,CLT,OH,1265,550,17,15.057646116893515,13.05533279871692
ATL,PDX,DL,1264,442,9,8.352191235059761,2.487980769230769
PDX,ATL,DL,1264,486,10,8.468102073365232,-1.6163069544364508
DEN,TUS,WN,1264,776,13,14.870503597122303,9.702962369895916
TUS,DEN,WN,1264,509,11,9.79169992019154,1.2707667731629393
MCI,MSP,DL,1263,259,11,3.8682108626198084,-1.8249400479616307
MSP,MCI,DL,1263,358,10,7.552274541101356,0.11173184357541899
ISP,BWI,WN,1262,559,11,10.25099920063949,1.5072
ORD,AUS,UA,1262,500,10,12.436900958466454,7.343474779823859
AUS,ORD,UA,1262,353,8,8.090909090909092,2.3205435651478816
BWI,ISP,WN,1261,797,12,16.9512,10.612179487179487
DTW,LGA,NK,1261,295,21,5.084405144694534,-3.523002421307506
SEA,IAH,UA,1261,455,30,10.78507704785077,4.151465798045603
PDX,MSP,DL,1260,350,11,4.437149719775821,-2.6538461538461537
MSP,PDX,DL,1260,414,10,7.894484412470024,-1.281475541299118
IAH,SEA,UA,1260,606,23,18.096200485044463,10.44922826969943
LGA,PBI,B6,1259,590,21,21.943548387096776,15.281553398058252
SFO,BOI,OO,1259,479,16,13.851166532582463,6.35
PBI,LGA,B6,1258,606,25,19.504460665044608,11.1545380212592
LGA,DTW,NK,1257,347,27,11.284902597402597,2.6710097719869705
MCI,BNA,WN,1257,514,10,5.532477947072975,1.0505212510024058
BNA,MCI,WN,1255,529,9,8.10032102728732,2.1358520900321545
PIT,JFK,YX,1255,157,10,-0.6080321285140562,-6.432019308125502
EWR,CLT,UA,1254,413,12,14.477455716586151,8.691686844229217
JFK,PIT,YX,1253,218,32,4.809172809172809,-2.4594594594594597
BOS,SJU,B6,1253,706,7,21.88933440256616,18.880321285140564
PHX,PDX,WN,1252,702,5,10.92548076923077,6.024096385542169
BWI,FLL,NK,1252,473,24,15.953620829943043,7.89253486464315
RSW,DTW,DL,1251,316,19,6.8061638280616386,2.5825874694873883
OKC,DEN,WN,1251,514,12,9.278450363196125,4.178947368421053
SMF,SAN,OO,1251,318,9,6.044283413848631,8.212783171521036
SAN,SMF,OO,1250,471,9,10.1361804995971,10.81532258064516
FLL,BWI,NK,1250,691,21,21.42242079610073,14.68729641693811
DTW,RSW,DL,1250,438,19,10.047077922077921,4.71801140994295
DEN,OKC,WN,1249,715,11,15.04442649434572,10.499595796281326
PHX,SFO,AA,1249,623,5,23.228112449799198,22.194533762057876
TPA,DEN,UA,1249,328,28,10.446355446355446,6.732730263157895
DEN,TPA,UA,1248,493,31,11.037797863599014,3.1123038810900083
SFO,PHX,AA,1248,505,6,29.798711755233494,25.84286865431104
IAD,EWR,UA,1247,498,30,19.82744453574363,17.346217105263158
CHS,BWI,WN,1247,474,9,6.369652945924132,2.3581244947453515
BWI,CHS,WN,1246,728,8,12.319870759289175,6.39983844911147
CLT,CAE,OH,1246,443,17,16.39349593495935,9.04315960912052
DFW,BHM,MQ,1245,351,12,6.02676399026764,4.267262388302194
BZN,DEN,WN,1245,484,7,8.048465266558965,1.5453074433656957
BHM,DFW,MQ,1244,405,12,11.003246753246753,7.925835370823146
DEN,BZN,WN,1244,739,8,13.242522231204527,7.374595469255663
CAE,CLT,OH,1244,297,9,8.080161943319839,7.418623481781377
CLT,ORF,OH,1244,554,9,14.200647249190938,10.390916463909164
BNA,MSY,WN,1243,582,6,9.124494745351658,3.201782820097245
ATL,STL,WN,1243,649,4,10.80241935483871,5.355411954765751
ORF,CLT,OH,1243,409,11,9.720779220779221,7.140994295028525
SEA,SMF,WN,1243,648,5,13.192245557350565,6.794830371567044
OAK,LAS,NK,1242,389,16,9.866231647634583,6.809951060358891
BRO,DFW,MQ,1242,326,18,5.69281045751634,3.6287816843826657
LAS,OAK,NK,1241,458,11,13.319512195121952,7.349593495934959
SMF,SEA,WN,1241,584,1,10.40725806451613,6.584342211460855
DFW,BRO,MQ,1241,336,18,5.935457516339869,1.3073770491803278
MSY,BNA,WN,1240,594,8,10.055194805194805,5.050324675324675
MOT,MSP,OO,1240,359,16,14.468954248366012,12.52088452088452
MSP,MOT,OO,1240,316,16,10.942903752039152,5.871205906480722
CVG,DTW,9E,1239,295,5,6.939222042139384,-0.42741281427412814
DTW,CVG,9E,1239,254,5,5.520259319286872,0.6747769667477697
STL,BNA,WN,1238,497,9,6.681855166802278,-1.1596091205211727
DEN,XWA,OO,1237,350,22,10.08128078817734,6.239202657807309
XWA,DEN,OO,1237,309,25,15.330033003300331,10.5
EWR,IAD,UA,1233,521,25,18.058726220016542,15.151615575807789
BUR,LAS,NK,1233,511,26,14.899090157154673,10.379453189726595
CHA,ATL,DL,1233,334,10,8.52493867538839,0.008994276369582993
LAS,BUR,NK,1233,389,20,9.040296052631579,4.417700578990901
BNA,MSP,DL,1232,232,11,3.8067158067158067,-3.1827868852459016
ATL,CHA,DL,1232,297,9,7.269010629599346,1.1847914963205233
ORD,OKC,OO,1232,523,10,13.815875613747954,5.838524590163934
LAS,PDX,WN,1231,731,7,15.8115823817292,8.174161896974653
MSP,BNA,DL,1231,309,9,5.3355155482815055,0.20327868852459016
DFW,LAS,NK,1230,553,11,15.944216570959803,11.045977011494253
DFW,RSW,AA,1229,656,46,26.416877637130803,21.28135593220339
RSW,DFW,AA,1229,507,47,25.660744500846025,23.250850340136054
ORD,SDF,YX,1228,362,9,9.973770491803279,6.655993431855501
OKC,ORD,OO,1228,289,7,8.19000819000819,2.018032786885246
CLT,SDF,AA,1227,640,19,29.764900662251655,25.872305140961856
SDF,ORD,YX,1227,189,7,1.4598360655737705,-1.6581758422350041
SDF,CLT,AA,1226,451,21,23.513692946058093,23.3103734439834
SAN,IAD,UA,1226,298,24,6.895174708818636,0.7525083612040134
IAD,SAN,UA,1226,349,21,8.456053067993366,-1.5083333333333333
LAX,HNL,HA,1224,627,19,19.393034825870647,17.966749792186203
LAS,DFW,NK,1224,388,13,9.406275805119735,6.384742951907131
FLL,ORD,UA,1223,376,36,13.7771236333053,10.036317567567568
ORD,FLL,UA,1223,355,31,10.651845637583893,5.76832350463353
HNL,LAX,HA,1221,692,13,15.129139072847682,7.881961762261014
PDX,LAS,WN,1220,572,8,10.113861386138614,3.211221122112211
HOU,LGA,WN,1220,724,21,17.385,5.668345927791772
LGA,HOU,WN,1220,726,14,16.51575456053068,4.197159565580618
BNA,STL,WN,1219,524,7,7.681518151815181,0.3897605284888522
AUS,LAX,DL,1219,472,6,19.647155812036274,14.390586292320396
LAX,AUS,DL,1219,336,4,10.297942386831275,11.21499176276771
ANC,JNU,AS,1218,300,5,1.3682042833607908,-0.2107883817427386
JNU,ANC,AS,1218,257,22,-0.7719298245614035,-1.6596989966555185
MIA,EYW,MQ,1216,285,35,4.69847972972973,0.7016949152542373
EYW,MIA,MQ,1216,402,36,8.966101694915254,7.429177268871926
MKE,MSP,DL,1215,251,15,6.016666666666667,2.629166666666667
MHT,DCA,OH,1214,312,20,12.0418410041841,8.036164844407065
MSP,MKE,DL,1213,313,15,6.453255425709516,0.31719532554257096
DCA,MHT,OH,1213,419,31,14.682967959527824,8.114406779661017
CMH,DFW,AA,1210,411,30,22.779847586790854,14.63265306122449
SEA,RDM,OO,1209,282,16,5.885259631490787,2.5834738617200674
SLC,AUS,DL,1209,378,4,11.194190871369294,8.778054862842893
AUS,SLC,DL,1209,345,7,9.949251247920133,2.115736885928393
MSP,STL,DL,1208,338,14,6.115577889447236,-0.22045264040234702
DFW,CMH,AA,1208,603,28,23.13186813186813,17.081494057724957
RDM,SEA,OO,1208,294,17,8.403862300587742,7.134340890008397
STL,MSP,DL,1208,220,13,6.728870292887029,-0.5795644891122278
ORD,SNA,UA,1207,465,0,11.316487158243579,-0.10292887029288703
SNA,ORD,UA,1207,252,2,5.054771784232365,-1.0773759461732548
TYS,ATL,9E,1206,203,9,5.853923205342237,0.949748743718593
ATL,TYS,9E,1206,295,9,9.547956630525437,5.511278195488722
RDU,MSP,DL,1206,361,10,11.224080267558529,0.39246861924686194
MSP,RDU,DL,1206,341,7,6.371976647206005,-0.14824120603015076
DCA,ORF,OH,1205,431,20,13.93681550126369,8.468697123519458
MCO,BOS,DL,1205,444,18,15.962089300758214,6.138163437236731
JFK,SFO,AS,1204,435,34,11.632252559726963,2.2147134302822926
LAX,HOU,WN,1204,691,7,11.755221386800335,6.659663865546219
ONT,SEA,AS,1204,349,23,4.441998306519898,0.9119390347163421
BOS,MCO,DL,1204,460,19,13.286075949367088,3.9923793395427603
SEA,ONT,AS,1204,519,20,8.14695945945946,4.70956816257409
SFO,JFK,AS,1203,470,43,12.619827586206897,8.64446366782007
SJC,SAN,OO,1203,216,10,1.9322175732217572,7.7700084245998315
ORF,DCA,OH,1202,309,18,10.33277027027027,6.248941574936494
DCA,HSV,OH,1202,357,26,11.521665250637213,5.5674061433447095
BOS,SEA,AS,1201,458,15,9.831365935919056,2.862331081081081
HSV,DCA,OH,1201,430,24,21.022090059473236,19.07883461868038
SEA,BOS,AS,1200,564,13,10.977253580454928,8.22849915682968
DFW,MKE,AA,1198,651,27,33.102476515798465,26.773116438356166
FLL,MDW,WN,1198,647,22,16.476190476190474,11.21994884910486
COS,DEN,WN,1198,472,11,10.247474747474747,3.0530749789385005
DEN,COS,WN,1197,700,9,16.4520202020202,10.283066554338669
IND,BWI,WN,1196,553,9,9.391414141414142,3.8895446880269815
MKE,DFW,AA,1195,490,29,25.80821917808219,19.673292999135697
PIT,BOS,B6,1195,321,21,8.270868824531517,5.486786018755328
BOS,PIT,B6,1195,399,19,13.34013605442177,6.481260647359455
MCI,DTW,DL,1194,192,6,4.406565656565657,-1.8087615838247684
DTW,MCI,DL,1194,291,6,6.927670311185871,-2.8938500421229993
BUF,CLT,AA,1193,483,15,19.077249575551782,16.681393372982157
CLT,BUF,AA,1192,577,16,19.90391156462585,15.866496598639456
DTW,STL,DL,1192,304,7,8.429535864978902,0.3783783783783784
SLC,SEA,AS,1191,404,21,6.339316239316239,3.5748502994011977
STL,DTW,DL,1191,198,8,7.344040574809806,1.9196277495769882
SEA,SLC,AS,1191,491,21,8.164102564102564,5.648717948717949
HOU,LAX,WN,1191,671,8,14.194420963651734,4.979695431472082
BWI,IND,WN,1190,724,9,15.97883149872989,9.002540220152413
MDW,FLL,WN,1190,599,15,13.683404255319148,7.809036658141517
PHX,LAS,F9,1189,416,13,15.546768707482993,10.62808510638298
LAS,PHX,F9,1188,327,8,9.692372881355933,7.0458015267175576
MCO,HPN,B6,1186,566,13,26.77067348678602,20.410499139414803
SAN,SJC,OO,1186,384,5,8.03640982218459,8.20575783234547
ATL,GPT,DL,1185,303,15,8.081196581196581,0.9320137693631669
GPT,ATL,DL,1185,197,15,7.915384615384616,1.8485885372112918
HPN,MCO,B6,1184,345,17,8.726027397260275,1.1984469370146678
CVG,CLT,AA,1184,523,17,20.055698371893744,15.049785407725322
CLT,CVG,AA,1184,607,14,22.290955631399317,19.189905902480753
PHX,ELP,WN,1183,618,2,12.556308213378493,6.193220338983051
SAN,DTW,DL,1182,356,10,6.209044368600683,1.262617621899059
DTW,SAN,DL,1181,472,9,12.206308610400683,5.014579759862778
ATL,DSM,DL,1181,286,12,5.508982035928144,-0.9476843910806175
DSM,ATL,DL,1181,275,12,11.467921300256629,1.5497427101200687
DAL,ORD,WN,1181,494,17,11.366838487972508,3.5671256454388987
MDW,PIT,WN,1180,497,18,8.139414802065405,4.405335628227195
MLI,ORD,OO,1179,352,25,19.302426343154245,17.196707105719238
MSP,TPA,DL,1179,323,26,6.201214223764094,0.6712922810060711
TPA,MSP,DL,1179,360,27,8.166666666666666,2.785217391304348
ORD,MLI,OO,1178,453,25,18.04155844155844,14.952215464813206
PHL,FLL,AA,1177,488,22,19.764502164502165,13.515177797051171
SEA,AUS,AS,1177,463,13,7.382302405498282,7.27390180878553
MSP,PHL,DL,1177,366,12,7.093562231759656,0.5431034482758621
PHL,MSP,DL,1177,351,13,9.991408934707904,1.4637931034482758
AUS,SEA,AS,1176,463,29,8.970357454228422,3.2805944055944054
FLL,PHL,AA,1176,430,23,21.306493506493506,17.33449174630756
OKC,DFW,MQ,1175,336,31,8.311188811188812,6.5323426573426575
LAS,MIA,AA,1175,480,10,23.556603773584907,14.684943429068756
DFW,OKC,MQ,1175,348,31,5.635807860262009,-0.6468531468531469
MIA,LAS,AA,1175,657,9,25.986301369863014,20.0859845227859
MDW,CLE,WN,1174,542,11,11.328460877042133,4.348537005163511
BUF,ATL,DL,1174,483,12,11.118760757314973,2.5297670405522004
ATL,BUF,DL,1174,401,11,9.231958762886597,6.460017196904557
FLL,IAH,NK,1173,618,22,17.7894280762565,15.412891986062718
CLE,MDW,WN,1172,458,14,7.532815198618308,0.31201382886776147
DFW,IAH,UA,1172,363,16,14.619377162629759,14.066782307025152
MCI,MCO,WN,1172,504,16,10.652249134948097,5.810225303292894
SHV,ATL,9E,1171,243,19,4.979166666666667,-1.6133796698523024
XNA,ATL,9E,1171,233,8,5.294067067927773,0.9181739879414298
ATL,XNA,9E,1171,250,8,5.401202749140894,1.4814174589455489
IND,JFK,YX,1171,228,15,3.8824546240276576,-1.048526863084922
ATL,SHV,9E,1171,248,18,3.931542461005199,-0.4608695652173913
LAX,ASE,OO,1171,401,33,23.87357330992098,22.206703910614525
JFK,IND,YX,1171,227,23,4.1982608695652175,-3.946724890829694
BNA,FLL,WN,1170,604,17,13.368284228769497,5.839270199826238
CLT,MSP,AA,1169,549,15,19.0,13.8578856152513
ORD,FWA,OO,1169,451,22,18.027898866608545,14.50437062937063
ASE,LAX,OO,1169,431,80,25.18273645546373,18.166820276497695
IAH,DFW,UA,1169,563,14,20.05363321799308,19.382480485689506
MSY,DEN,WN,1169,580,12,13.42523768366465,7.809523809523809
SEA,MCO,AS,1169,507,49,8.967857142857143,4.998206278026906
DAY,ATL,DL,1169,201,12,2.6828003457216942,-8.486603284356093
FWA,ORD,OO,1169,381,25,18.33041958041958,14.57931638913234
MSP,CLT,AA,1168,430,13,14.917748917748918,10.507384882710687
ATL,DAY,DL,1168,272,11,4.4485738980121,-1.2878133102852205
BNA,MIA,AA,1167,423,22,19.855021834061134,17.280701754385966
MCO,SEA,AS,1167,462,45,12.090017825311943,7.165178571428571
IAH,FLL,NK,1166,464,26,18.16842105263158,11.383128295254833
MIA,BNA,AA,1166,561,21,27.90409764603313,24.28045574057844
ABE,CLT,OH,1166,329,15,15.546481320590791,4.445993031358885
CLT,SBN,OH,1166,367,9,11.262748487467588,8.817316017316017
SBN,CLT,OH,1166,504,10,14.147923875432525,10.56969696969697
CLT,ABE,OH,1166,413,13,15.390814558058926,12.866492146596858
MCO,MCI,WN,1165,562,19,14.24694589877836,10.679824561403509
FLL,BNA,WN,1163,623,10,15.189939288811795,9.635652173913044
DFW,ASE,OO,1162,254,34,7.108060230292294,-0.3790849673202614
ASE,DFW,OO,1162,380,73,22.88337924701561,17.514842300556587
BDL,DCA,OH,1162,346,27,19.462620932277925,14.037102473498233
MSP,RSW,DL,1161,364,16,9.815720524017467,2.908851884312007
MIA,JAX,AA,1161,553,34,29.971606033717833,27.28748890860692
RSW,MSP,DL,1161,260,16,8.206986899563319,2.8188976377952755
JAX,MIA,AA,1160,427,35,21.800531914893618,18.67170818505338
DCA,BDL,OH,1160,360,26,13.397887323943662,10.380952380952381
BNA,CLT,OH,1160,453,15,10.925764192139738,8.915283842794759
CLT,BNA,OH,1160,353,11,8.403127715030408,4.726876090750436
PHX,BWI,WN,1160,721,3,11.083837510803804,3.1509106678230703
ELP,PHX,WN,1158,395,4,8.19584055459272,2.9861351819757367
ORD,DAL,WN,1158,451,24,11.3125,2.409372236958444
CMH,ORD,MQ,1155,320,6,17.450434782608696,14.89808362369338
HOU,CRP,WN,1155,521,17,14.794556628621597,3.980650835532102
CRP,HOU,WN,1155,307,13,9.364273204903677,5.492105263157895
ORD,CMH,MQ,1154,431,8,11.87979094076655,10.88471615720524
IAH,CLE,UA,1153,402,14,13.673684210526316,7.4098504837291115
ORD,DAY,OO,1153,436,12,17.744084136722172,13.356453028972783
DAY,ORD,OO,1153,279,13,12.195614035087718,8.606326889279437
CLE,IAH,UA,1153,234,14,3.453906935908692,-2.625220458553792
FLL,DEN,UA,1150,342,27,10.101513802315226,3.7600716204118174
ATL,CHA,9E,1150,280,8,5.4916885389326335,1.4719298245614034
ORD,SAN,AA,1149,514,13,26.09578207381371,20.836572438162545
CHA,ATL,9E,1148,341,8,8.633333333333333,2.874561403508772
SAN,ORD,AA,1148,342,12,15.268485915492958,8.45221238938053
DEN,FLL,UA,1148,458,20,11.152347209920283,5.152617568766637
STL,TPA,WN,1147,582,20,12.368234250221828,6.641964285714286
LAS,LAX,AA,1147,401,2,18.388646288209607,14.387237762237762
LAX,LAS,AA,1146,415,2,17.66083916083916,18.833770778652667
BOS,EWR,YX,1146,245,30,5.584078711985689,5.510752688172043
EWR,BOS,YX,1145,295,27,11.702582368655387,7.366726296958855
JFK,DFW,AA,1144,425,20,16.433777777777777,5.616352201257862
PIT,MDW,WN,1144,444,14,6.688495575221239,1.9078014184397163
DFW,JFK,AA,1143,626,22,21.208742194469224,9.311270125223613
TPA,STL,WN,1142,515,21,11.555753791257805,5.776092774308653
DFW,PBI,AA,1141,633,37,27.49412827461608,24.09090909090909
MKE,MCO,WN,1141,444,22,11.465594280607686,6.339892665474061
PBI,DFW,AA,1140,525,36,29.3420814479638,26.21747042766151
SJC,SEA,WN,1139,461,1,7.571177504393673,3.461335676625659
SJC,AUS,WN,1139,570,2,9.965699208443272,4.0678414096916296
AUS,SJC,WN,1138,583,3,11.590308370044053,4.545374449339207
SAT,PHX,AA,1136,258,8,13.831560283687944,11.41740674955595
PHX,SAT,AA,1136,405,6,18.63716814159292,14.296985815602836
SMF,SEA,AS,1136,447,18,5.8550983899821105,3.7708146821844224
CVG,ORD,MQ,1136,401,8,15.571302037201063,14.531083481349912
ORD,GRB,OO,1136,473,22,18.711849192100537,14.449640287769784
GRB,ORD,OO,1136,340,26,14.209009009009009,12.357980162308387
LAS,PHL,AA,1135,350,10,11.366222222222222,4.715447154471545
LAS,FAT,WN,1135,641,1,12.808641975308642,4.584656084656085
PHL,LAS,AA,1135,468,11,20.060390763765543,12.058876003568242
ORD,CVG,MQ,1135,402,7,13.597874224977856,12.075421472937
FAT,LAS,WN,1135,497,1,10.841269841269842,6.027336860670194
SEA,SMF,AS,1135,527,16,9.982142857142858,9.787310098302056
CLT,MLB,OH,1135,358,24,10.513951395139514,3.763963963963964
MLB,CLT,OH,1135,321,23,8.48607367475292,6.71996386630533
DEN,MSY,WN,1134,628,8,14.216503992901508,10.385026737967914
LGA,RIC,YX,1133,188,30,2.091402714932127,-5.215775158658205
IDA,DEN,OO,1133,261,10,11.284060552092608,4.161319073083779
RIC,LGA,YX,1133,188,22,4.445143884892087,4.400542495479204
DEN,IDA,OO,1133,329,9,9.493772241992882,3.592328278322926
PHL,BOS,YX,1131,181,11,4.114183764495985,-0.48614834673815904
TRI,ATL,9E,1131,214,8,3.5449688334817453,-4.31166518254675
ATL,TRI,9E,1131,230,8,3.9884238646482637,-0.7707404103479036
BOS,PHL,YX,1131,230,12,4.386952636282395,0.7390527256478999
ATL,MCO,F9,1129,524,45,29.575115207373273,20.385041551246537
ORD,RDU,UA,1129,368,7,9.867201426024955,6.656836461126005
MCO,ATL,F9,1128,434,40,18.837614678899083,20.056117755289787
STL,DEN,UA,1126,391,16,9.80990990990991,6.2144144144144144
DFW,LAX,NK,1126,485,6,14.482142857142858,7.141197497765862
RDU,ORD,UA,1126,212,13,2.931716082659479,-2.5031503150315033
BWI,PHX,WN,1125,750,5,16.272321428571427,5.21824686940966
DEN,STL,UA,1125,414,11,11.39336917562724,7.014388489208633
LAX,DFW,NK,1124,380,8,12.838709677419354,3.8779174147217237
MCO,MKE,WN,1123,549,13,15.433333333333334,11.017148014440433
BOS,LAX,DL,1123,528,7,22.146821844225606,11.055555555555555
LAX,BOS,DL,1122,388,5,12.665174574753804,5.579372197309417
SEA,SJC,WN,1121,581,3,13.227191413237925,5.622540250447227
EWR,DTW,YX,1121,232,44,4.12987012987013,-2.781919850885368
DTW,EWR,YX,1121,228,38,8.551246537396121,-0.5702402957486137
ATL,SEA,AS,1120,405,21,6.358181818181818,-0.5752051048313582
SEA,ATL,AS,1119,477,19,7.702727272727273,5.148451730418944
TUL,DAL,WN,1118,356,7,7.463129496402877,1.4254742547425474
DAY,DCA,OH,1118,255,24,8.280365296803653,5.590825688073394
LAX,HNL,AA,1117,364,0,7.501342882721576,-2.6908602150537635
HNL,LAX,AA,1117,249,0,5.9865711727842434,-3.9525514771709935
DCA,DAY,OH,1116,338,19,13.614754098360656,9.742700729927007
BDL,DTW,DL,1111,267,11,5.272479564032698,-2.42
DTW,BDL,DL,1111,289,10,7.383287920072661,2.2374886260236577
BWI,ROC,WN,1110,735,4,16.792418772563177,9.454298642533937
ROC,BWI,WN,1110,561,4,10.745931283905968,2.9900452488687783
MCO,DCA,WN,1110,639,19,17.753663003663004,8.821527138914444
SFO,LAS,F9,1110,696,17,42.12614259597806,38.049405306495885
FLL,DFW,NK,1110,604,16,20.5036563071298,19.340699815837937
LAS,SFO,F9,1109,464,16,20.18082191780822,23.524245196706314
DCA,MCO,WN,1109,629,17,18.147435897435898,7.582872928176796
DFW,FLL,NK,1107,578,20,21.01747930082797,15.533578656853726
PHX,OMA,WN,1106,546,7,10.631818181818181,5.678538812785388
BWI,MYR,WN,1105,625,6,13.617834394904458,6.693989071038251
MYR,BWI,WN,1104,383,10,6.359232175502743,0.22943327239488118
DAY,DFW,OH,1104,288,12,11.105311355311356,2.489889705882353
DTW,BWI,DL,1104,315,11,8.91491308325709,3.7822506861848124
BWI,DTW,DL,1104,273,11,6.718206770356816,-1.1692589204025619
CLT,SYR,AA,1103,562,12,22.577451879010084,17.66299357208448
LAS,PDX,AS,1103,386,13,7.53021978021978,6.848623853211009
ALB,CLT,AA,1103,451,9,21.927787934186473,15.437213565536206
CLT,ALB,AA,1103,534,9,21.429223744292237,18.506874427131073
MDW,RSW,WN,1103,533,24,13.051899907321594,6.9544186046511625
ORD,AUS,AA,1103,530,5,21.51,12.368949771689497
SYR,CLT,AA,1103,461,13,17.292660550458717,13.702752293577982
DFW,DAY,OH,1103,379,13,23.55137614678899,18.48348623853211
RSW,MDW,WN,1102,523,29,14.541472506989749,9.985004686035614
TYS,DFW,AA,1102,491,27,21.88,12.81758652946679
DFW,TYS,AA,1102,598,26,23.526462395543174,19.41247672253259
DAL,TUL,WN,1101,509,9,14.152930402930403,7.187728937728938
AUS,ORD,AA,1101,308,5,15.94890510948905,11.215722120658135
OGG,KOA,HA,1101,454,1,3.2134423251589466,3.6345454545454547
JFK,SJU,DL,1100,371,0,9.64090909090909,0.6854545454545454
SFO,PHX,WN,1100,656,3,18.62169553327256,10.911577028258888
PHX,SFO,WN,1099,818,1,26.683060109289617,19.646308113035552
SJU,JFK,DL,1099,212,1,5.128298453139218,-1.6429223744292238
KOA,OGG,HA,1098,324,0,1.674863387978142,1.869644484958979
CMH,BWI,WN,1098,416,2,7.241788321167883,-1.4744525547445255
RAP,DFW,MQ,1098,315,8,12.091743119266056,7.446494464944649
DFW,RAP,MQ,1098,307,8,8.557286892758937,2.180221811460259
LIH,OGG,HA,1098,373,2,1.5451230628988148,2.146897810218978
LAX,HNL,DL,1098,408,3,11.491324200913242,6.437842778793419
HNL,LAX,DL,1098,248,6,8.614468864468865,-2.321723189734189
OGG,LIH,HA,1098,446,0,3.115664845173042,4.300820419325433
DCA,DEN,F9,1097,297,16,11.142460684551342,2.02037037037037
EWR,SJU,UA,1097,516,11,18.560773480662984,13.341035120147874
IAD,TPA,UA,1097,309,22,8.929302325581395,2.641121495327103
DEN,DCA,F9,1097,443,14,11.580258302583026,3.6648096564531105
SJU,EWR,UA,1097,436,22,21.318181818181817,14.67196261682243
TPA,JFK,DL,1096,491,23,17.39199255121043,9.858878504672898
SNA,EWR,UA,1096,293,14,14.236380424746075,2.488350419384902
JFK,TPA,DL,1096,383,22,13.816744186046511,6.467228464419476
PIA,ORD,OO,1096,411,21,18.207441860465117,13.608372093023256
TPA,IAD,UA,1096,291,27,10.115060804490177,4.031894934333959
EWR,SNA,UA,1096,291,11,5.8125,-7.8657407407407405
ORD,PIA,OO,1096,421,25,19.144724556489262,14.051546391752577
BWI,CMH,WN,1096,677,2,17.621572212065814,11.241758241758241
COU,DFW,MQ,1095,385,26,12.253271028037384,8.95688847235239
CRW,CLT,OH,1095,364,12,16.634349030470915,13.895467160037002
DRO,DFW,OO,1095,295,15,12.637037037037038,8.890232558139536
CLT,CRW,OH,1095,382,11,14.897695852534563,11.530989824236817
DEN,LGB,WN,1094,590,8,11.310313075506446,3.3505535055350553
PHX,DCA,AA,1094,313,6,6.943014705882353,-0.8413284132841329
DFW,COU,MQ,1094,378,25,12.558878504672897,8.193064667291472
DFW,DRO,OO,1094,267,18,7.824349442379182,4.3889409559512655
DCA,PHX,AA,1094,266,6,7.614889705882353,-3.7913204062788552
LGB,DEN,WN,1094,483,11,9.21421975992613,-0.15477293790546803
LAS,IAH,NK,1093,465,18,13.47813953488372,7.529795158286778
AUS,LAX,WN,1092,634,3,14.664830119375575,8.066115702479339
LAX,AUS,WN,1091,489,5,9.640883977900552,6.002770083102493
SJU,MCO,NK,1091,394,24,15.72752808988764,9.029053420805997
DEN,LAX,DL,1090,308,8,12.367837338262477,5.519408502772643
RNO,DEN,WN,1089,449,6,8.925207756232687,0.6014828544949027
ATL,FLL,WN,1089,649,8,16.762257169287697,9.824074074074074
DEN,RNO,WN,1089,666,9,15.454629629629629,9.09953488372093
PDX,LAS,AS,1089,357,21,7.6245318352059925,8.41705716963449
FLL,ATL,WN,1089,525,12,12.643784786641929,6.878731343283582
LAX,DEN,DL,1089,355,8,10.581868640148011,5.112244897959184
PIT,BWI,WN,1088,396,9,5.705282669138091,-0.9833024118738405
OMA,PHX,WN,1087,555,8,11.701851851851853,3.9405756731662023
MCO,SJU,NK,1086,514,14,18.40391791044776,9.622782446311858
BNA,RDU,WN,1085,575,6,12.15755329008341,7.2181987000928505
MYR,CLT,AA,1085,325,23,11.753527751646285,8.574387947269303
IAH,LAS,NK,1085,441,12,15.92264678471575,10.729477611940299
CLT,MYR,AA,1084,508,16,26.23501872659176,22.180281690140845
CLT,DAB,OH,1084,325,30,9.919431279620854,2.043726235741445
SLC,TUS,OO,1084,183,0,2.1678966789667897,-2.7953703703703705
TUS,SLC,OO,1084,127,0,0.40498154981549817,-5.76595744680851
